brand_variants,n_sku,total_amt,sample_product,confirmed_category
SOLWAVE/Solwave,12,6275.889999999999,Probiotic Daily 30s,supplement
Vireo Labs,10,5591.46,Omega 3 Fish Oil 500mg,supplement
Manuka Ridge,6,4729.89,Manuka Honey UMF 5+ (500g),honey
Clearfield,6,4250.58,Whole Milk Powder (1000g),milk_powder
Ambervale,5,3941.17,Immune Support Milk Powder (900g),milk_powder
Two Rivers,5,3882.8,Skim Milk Powder (1000g),milk_powder
Southern Craft,15,3641.4300000000003,Wool Cushion Cover (40cm),souvenir
Golden Vale,4,3598.07,Manuka Honey UMF 5+ (500g),honey
Northlight,10,3507.22,Omega 3 Fish Oil 500mg,supplement
Tasman Vitality,8,3411.31,Omega 3 Fish Oil 1500mg,supplement
Coastline Apiary,3,3319.05,Manuka Honey UMF 5+ (250g),honey
Baycrest,9,3191.4,Omega 3 Fish Oil 1000mg,supplement
Fernvale,4,2919.2,Whole Milk Powder (1000g),milk_powder
Hivewood,4,2335.7,Manuka Honey UMF 10+ (250g),honey
Piko Gifts,6,2281.23,Plush Kiwi Toy (15cm),souvenir
Silverfern,5,2225.0,Night Repair Serum (50ml),skincare
KIWIANA CO/Kiwiana Co,11,2095.83,Sheepskin Slippers,souvenir
Beechline,3,2043.67,Manuka Honey UMF 5+ (500g),honey
Harbour Wool,5,1998.63,Fridge Magnet Set,souvenir
Lanolux,6,1702.53,Lanolin Moisturising Cream (150ml),skincare
Highmoor,3,1694.4699999999998,Skim Milk Powder (1000g),milk_powder
Puriri Health,4,1660.3700000000001,Probiotic Daily 60s,supplement
Cove & Clay,4,1496.08,Lanolin Moisturising Cream (150ml),skincare
Aroha Nutrition,5,1394.1100000000001,Omega 3 Fish Oil 500mg,supplement
Westbrook,3,1149.9299999999998,Whole Milk Powder (1000g),milk_powder
Riverstone Bio,5,1074.33,Omega 3 Fish Oil 1000mg,supplement
Kowhai Care,2,1048.35,CoQ10 150mg,supplement
Tui Botanicals,4,1012.06,Lanolin Moisturising Cream (100ml),skincare
Rata Confection,6,867.05,Dark Chocolate Block 85% (250g),chocolate
Halcyon,2,822.73,CoQ10 100mg,supplement
Cocoa Bay,7,815.42,Chocolate Gift Pouch (125g),chocolate
Pounamu Skin,5,623.02,Lanolin Moisturising Cream (100ml),skincare
