sku_code,brand,product_desc,decision,reviewed_on,note
SKU1216,Beechline,Honey Gift Set (250g x4),brand_default,2026-08-13,name mentions ambiguous:honey+souvenir; the product is honey
SKU1197,Golden Vale,Honey Gift Set (250g x4),brand_default,2026-08-13,name mentions ambiguous:honey+souvenir; the product is honey
SKU1202,Golden Vale,Honey Gift Set (250g x4),brand_default,2026-08-13,name mentions ambiguous:honey+souvenir; the product is honey
SKU1208,Hivewood,Honey Gift Set (250g x4),brand_default,2026-08-13,name mentions ambiguous:honey+souvenir; the product is honey
SKU1183,Manuka Ridge,Honey Gift Set (250g x4),brand_default,2026-08-13,name mentions ambiguous:honey+souvenir; the product is honey
SKU1188,Manuka Ridge,Honey Gift Set (250g x4),brand_default,2026-08-13,name mentions ambiguous:honey+souvenir; the product is honey
SKU1141,Ambervale,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1148,Ambervale,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1125,Clearfield,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1132,Clearfield,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1162,Fernvale,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1170,Highmoor,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1153,Two Rivers,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1176,Westbrook,Immune Support Milk Powder (900g),brand_default,2026-08-13,name mentions ambiguous:milk_powder+supplement; the product is milk_powder
SKU1254,Cove & Clay,Propolis Toothpaste (100g),brand_default,2026-08-13,name mentions ambiguous:skincare+supplement; the product is skincare
SKU1221,Lanolux,Propolis Toothpaste (100g),brand_default,2026-08-13,name mentions ambiguous:skincare+supplement; the product is skincare
SKU1227,Lanolux,Propolis Toothpaste (100g),brand_default,2026-08-13,name mentions ambiguous:skincare+supplement; the product is skincare
SKU1234,Pounamu Skin,Propolis Toothpaste (100g),brand_default,2026-08-13,name mentions ambiguous:skincare+supplement; the product is skincare
SKU1240,Pounamu Skin,Propolis Toothpaste (100g),brand_default,2026-08-13,name mentions ambiguous:skincare+supplement; the product is skincare
SKU1245,Silverfern,Propolis Toothpaste (100g),brand_default,2026-08-13,name mentions ambiguous:skincare+supplement; the product is skincare
SKU1262,Tui Botanicals,Propolis Toothpaste (100g),brand_default,2026-08-13,name mentions ambiguous:skincare+supplement; the product is skincare
